Date,Open,High,Low,Close,Adj Close,Volume
2020-01-31,142.85000610351562,142.85000610351562,139.47000122070312,139.63999938964844,131.50306701660156,3913500
2020-02-03,140.52999877929688,141.57000732421875,139.67999267578125,141.0,132.78379821777344,5137800
2020-02-04,142.3000030517578,144.07000732421875,141.77999877929688,143.44000244140625,135.08163452148438,3177500
2020-02-05,144.77999877929688,147.36000061035156,144.52999877929688,147.35000610351562,138.7637939453125,4060900
2020-02-06,147.74000549316406,147.8699951171875,146.80999755859375,147.3000030517578,138.71665954589844,3285000
2020-02-07,147.22000122070312,147.22000122070312,145.3800048828125,146.41000366210938,137.87855529785156,2670400
2020-02-10,141.5,145.5500030517578,141.1199951171875,145.50999450683594,137.031005859375,4892100
2020-02-11,145.72999572753906,145.86000061035156,143.17999267578125,144.25,135.8444366455078,2976400
2020-02-12,144.6699981689453,144.89999389648438,143.49000549316406,143.50999450683594,135.14756774902344,3953200
2020-02-13,142.86000061035156,143.74000549316406,141.7899932861328,141.8000030517578,134.2293243408203,3455500
2020-02-14,142.25,142.32000732421875,140.57000732421875,141.1199951171875,133.58566284179688,2273700
2020-02-18,141.02000427246094,141.9600067138672,140.52999877929688,141.00999450683594,133.4814910888672,2858200
2020-02-19,141.6199951171875,141.83999633789062,140.36000061035156,140.8300018310547,133.31112670898438,3082800
2020-02-20,141.6300048828125,142.80999755859375,141.1999969482422,142.0,134.41867065429688,3417000
2020-02-21,141.33999633789062,142.64999389648438,140.3300018310547,142.0399932861328,134.45652770996094,2900900
2020-02-24,139.27999877929688,141.58999633789062,137.8699951171875,138.14999389648438,130.77420043945312,4727400
2020-02-25,138.94000244140625,139.22999572753906,134.6199951171875,135.41000366210938,128.18051147460938,3401600
2020-02-26,136.02999877929688,137.02000427246094,133.30999755859375,133.52999877929688,126.4008560180664,4659000
2020-02-27,133.3300018310547,134.6699981689453,129.0500030517578,129.19000244140625,122.2926025390625,4292800
2020-02-28,126.37999725341797,126.80000305175781,121.51000213623047,126.12999725341797,119.39595031738281,7898300
2020-03-02,127.73999786376953,133.0,126.20999908447266,132.83999633789062,125.7476806640625,7355700
2020-03-03,133.27999877929688,135.64999389648438,128.69000244140625,130.30999755859375,123.35279083251953,6936600
2020-03-04,133.02999877929688,140.86000061035156,133.0,140.3800048828125,132.88514709472656,5301900
2020-03-05,138.3800048828125,141.91000366210938,137.52999877929688,140.14999389648438,132.66741943359375,6882100
2020-03-06,136.1199951171875,142.36000061035156,135.5500030517578,141.4600067138672,133.907470703125,8010700
2020-03-09,134.02000427246094,140.92999267578125,133.30999755859375,135.72000122070312,128.47393798828125,5351300
2020-03-10,139.22999572753906,141.92999267578125,134.72000122070312,141.19000244140625,133.65188598632812,5961200
2020-03-11,139.4600067138672,141.83999633789062,137.38999938964844,140.02000427246094,132.54437255859375,7211800
2020-03-12,130.7899932861328,136.5,125.93000030517578,126.0199966430664,119.29183197021484,7836300
2020-03-13,132.9499969482422,139.3699951171875,128.50999450683594,139.3699951171875,131.92906188964844,6841700
2020-03-16,131.0,138.67999267578125,128.25,129.3800048828125,122.47242736816406,6619700
2020-03-17,133.2100067138672,143.58999633789062,131.10000610351562,143.1999969482422,135.55458068847656,8909200
2020-03-18,136.33999633789062,144.0,134.0800018310547,143.08999633789062,135.45046997070312,6734600
2020-03-19,142.49000549316406,142.97999572753906,131.1199951171875,133.08999633789062,125.98434448242188,6554800
2020-03-20,132.16000366210938,132.25,120.2300033569336,122.4000015258789,115.8651123046875,9113500
2020-03-23,120.94999694824219,126.87999725341797,117.05999755859375,119.05000305175781,112.6939468383789,7299300
2020-03-24,123.23999786376953,124.5999984741211,117.41000366210938,122.88999938964844,116.32893371582031,6827300
2020-03-25,120.12000274658203,126.13999938964844,119.20999908447266,121.94000244140625,115.4296646118164,6472100
2020-03-26,123.29000091552734,135.74000549316406,121.94000244140625,134.35000610351562,127.17709350585938,6723600
2020-03-27,130.64999389648438,137.61000061035156,130.1999969482422,134.11000061035156,126.9499282836914,4717400
2020-03-30,133.8699951171875,141.77000427246094,133.50999450683594,138.44000244140625,131.04872131347656,5057400
2020-03-31,136.9600067138672,142.02000427246094,134.52000427246094,138.72000122070312,131.31378173828125,7560100
2020-04-01,134.0,137.19000244140625,132.97999572753906,136.4199981689453,129.13658142089844,3297900
2020-04-02,135.35000610351562,142.8000030517578,133.02999877929688,142.17999267578125,134.5890655517578,4725000
2020-04-03,140.9199981689453,144.60000610351562,138.4600067138672,139.66000366210938,132.20358276367188,4013200
2020-04-06,142.27000427246094,143.5,140.3000030517578,141.61000061035156,134.04946899414062,4159900
2020-04-07,143.1300048828125,144.8000030517578,140.0500030517578,141.8800048828125,134.30503845214844,3900600
2020-04-08,142.0500030517578,147.25,140.5,146.22000122070312,138.41336059570312,4006600
2020-04-09,144.50999450683594,146.39999389648438,143.5500030517578,145.72999572753906,137.9495391845703,4415300
2020-04-13,144.97000122070312,146.58999633789062,142.8800048828125,144.4199981689453,136.70945739746094,2289000
2020-04-14,147.27999877929688,151.5500030517578,144.0500030517578,151.11000061035156,143.04229736328125,3809600
2020-04-15,148.94000244140625,153.39999389648438,148.50999450683594,151.17999267578125,143.1085205078125,3614400
2020-04-16,152.88999938964844,155.58999633789062,152.0,154.72999572753906,146.46896362304688,3512900
2020-04-17,155.4199981689453,157.6699981689453,153.02999877929688,157.2899932861328,148.89231872558594,3709900
2020-04-20,156.6300048828125,160.1999969482422,155.61000061035156,157.7899932861328,149.36561584472656,2562200
2020-04-21,155.41000366210938,155.8000030517578,151.41000366210938,152.6699981689453,144.51901245117188,4270200
2020-04-22,154.61000061035156,157.27999877929688,153.57000732421875,156.7100067138672,148.34327697753906,3278000
2020-04-23,157.17999267578125,162.55999755859375,154.0,159.92999267578125,151.39138793945312,5692900
2020-04-24,162.0,164.89999389648438,160.61000061035156,162.92999267578125,154.23121643066406,4414000
2020-04-27,164.0,164.5,160.72000122070312,161.2899932861328,152.67877197265625,3210300
2020-04-28,160.94000244140625,161.97999572753906,156.58999633789062,157.3000030517578,148.90179443359375,3270200
2020-04-29,157.75999450683594,158.02999877929688,154.6699981689453,155.16000366210938,146.8760528564453,3240700
2020-04-30,155.1999969482422,156.97999572753906,153.27999877929688,154.63999938964844,146.3838348388672,4175800
2020-05-01,153.72000122070312,154.60000610351562,151.57000732421875,153.6300048828125,145.42774963378906,2576400
2020-05-04,154.64999389648438,156.0,151.25999450683594,153.27999877929688,145.09640502929688,2228500
2020-05-05,153.8000030517578,159.22000122070312,152.75,157.88999938964844,149.46029663085938,2862600
2020-05-06,158.4600067138672,158.94000244140625,156.35000610351562,156.67999267578125,148.3148956298828,1964800
2020-05-07,157.5,157.69000244140625,152.72000122070312,152.97000122070312,144.80296325683594,2330600
2020-05-08,154.1999969482422,154.4199981689453,152.5500030517578,153.50999450683594,145.31414794921875,1966600
2020-05-11,153.47000122070312,159.47000122070312,153.0800018310547,158.5500030517578,150.0850372314453,3196200
2020-05-12,159.8699951171875,161.39999389648438,157.58999633789062,157.72000122070312,149.29937744140625,2329400
2020-05-13,157.02999877929688,159.35000610351562,156.0399932861328,157.92999267578125,149.49815368652344,2650000
2020-05-14,155.94000244140625,158.9499969482422,153.80999755859375,158.3800048828125,150.6299591064453,2393900
2020-05-15,158.6300048828125,159.50999450683594,156.02999877929688,159.22999572753906,151.43833923339844,2824500
2020-05-18,161.33999633789062,162.3699951171875,157.11000061035156,157.9600067138672,150.23049926757812,2703700
2020-05-19,156.85000610351562,159.1300048828125,155.27999877929688,156.6999969482422,149.03213500976562,2339400
2020-05-20,155.27000427246094,157.42999267578125,151.61000061035156,153.1300048828125,145.63682556152344,3780800
2020-05-21,153.14999389648438,153.14999389648438,149.72000122070312,152.27999877929688,144.8284454345703,3049800
2020-05-22,152.22000122070312,152.55999755859375,150.1699981689453,151.16000366210938,143.7632598876953,2355000
2020-05-26,151.11000061035156,151.75999450683594,147.16000366210938,147.9600067138672,140.7198028564453,5013400
2020-05-27,148.1699981689453,148.1699981689453,143.6199951171875,145.6999969482422,138.57040405273438,5376100
2020-05-28,147.42999267578125,152.10000610351562,146.50999450683594,150.64999389648438,143.2781524658203,3982700
2020-05-29,151.66000366210938,153.63999938964844,149.94000244140625,152.9499969482422,145.46566772460938,9466300
2020-06-01,154.47000122070312,154.99000549316406,150.88999938964844,152.4499969482422,144.99012756347656,5233800
2020-06-02,152.0800018310547,154.0800018310547,151.0399932861328,153.86000061035156,146.3311004638672,3269400
2020-06-03,153.33999633789062,154.38999938964844,150.85000610351562,152.52999877929688,145.0662078857422,3190300
2020-06-04,152.2100067138672,153.5399932861328,149.7100067138672,150.7100067138672,143.3352508544922,3328700
2020-06-05,149.6999969482422,151.75999450683594,148.33999633789062,149.2100067138672,141.9086456298828,4578800
2020-06-08,146.75,149.25,146.52000427246094,149.2100067138672,141.9086456298828,4076400
2020-06-09,149.75,151.75,149.11000061035156,149.1300048828125,141.8325958251953,4302100
2020-06-10,149.9600067138672,152.39999389648438,149.83999633789062,151.0,143.61106872558594,4940200
2020-06-11,151.85000610351562,152.24000549316406,143.0500030517578,144.0800018310547,137.02969360351562,4547400
2020-06-12,145.5399932861328,146.3800048828125,141.47000122070312,143.5399932861328,136.51608276367188,3973200
2020-06-15,142.0,142.89999389648438,139.67999267578125,141.52000427246094,134.594970703125,3709900
2020-06-16,156.32000732421875,167.42999267578125,155.0,163.7100067138672,155.6991424560547,15029300
2020-06-17,164.22999572753906,164.36000061035156,159.39999389648438,159.97000122070312,152.1421356201172,4711200
2020-06-18,159.1999969482422,162.97000122070312,158.1999969482422,161.07000732421875,153.1883087158203,3631600
2020-06-19,162.22999572753906,162.47999572753906,158.25999450683594,159.94000244140625,152.11358642578125,6004900
2020-06-22,159.17999267578125,161.47999572753906,158.9199981689453,160.4499969482422,152.5986328125,2647300
2020-06-23,160.88999938964844,162.8699951171875,158.9499969482422,159.33999633789062,151.5429229736328,2771500
